On start time,On end time,Off start time,Off end time,On duration,Off duration,Door open time during on (s),Door open time during off (s),Max temp delta on,Max temp delta off,Type,Notes,Freezer used,Hot Food,Fridge opened
7 Apr 15 23:29:52,7 Apr 15 23:54:23,7 Apr 15 23:54:23,8 Apr 15 0:35:27,24m 31s,41m 4s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 0:35:27,8 Apr 15 0:59:41,8 Apr 15 0:59:41,8 Apr 15 1:40:46,24m 14s,41m 5s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 1:40:46,8 Apr 15 2:05:34,8 Apr 15 2:05:34,8 Apr 15 2:46:22,24m 48s,40m 48s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 2:46:22,8 Apr 15 3:10:53,8 Apr 15 3:10:53,8 Apr 15 3:52:14,24m 31s,41m 21s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 3:52:14,8 Apr 15 4:17:13,8 Apr 15 4:17:13,8 Apr 15 4:58:31,24m 59s,41m 18s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 4:58:31,8 Apr 15 5:23:13,8 Apr 15 5:23:13,8 Apr 15 6:03:53,24m 42s,40m 40s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 6:03:53,8 Apr 15 6:28:31,8 Apr 15 6:28:31,8 Apr 15 7:09:19,24m 38s,40m 48s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 7:09:19,8 Apr 15 7:32:41,8 Apr 15 7:32:41,8 Apr 15 8:13:42,23m 22s,41m 1s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 8:13:42,8 Apr 15 8:40:38,8 Apr 15 8:40:38,8 Apr 15 9:21:28,26m 56s,40m 50s,13,45,0.3,1,Regular,,FALSE,TRUE,TRUE
8 Apr 15 9:21:28,8 Apr 15 10:23:32,,,1h 2m 4s,,34,0,1,0,Before defrost,,FALSE,FALSE,TRUE
8 Apr 15 10:23:32,8 Apr 15 10:40:39,,,17m 7s,,15,0,0.6,0,Defrost,,FALSE,TRUE,TRUE
8 Apr 15 10:50:29,8 Apr 15 11:35:40,8 Apr 15 11:35:40,8 Apr 15 12:18:45,45m 11s,43m 5s,20,40,0.1,1,After defrost,,FALSE,FALSE,TRUE
8 Apr 15 12:18:45,8 Apr 15 12:51:52,8 Apr 15 12:51:52,8 Apr 15 13:26:03,33m 7s,34m 11s,10,45,0.2,1,After defrost,,FALSE,FALSE,TRUE
8 Apr 15 13:26:03,8 Apr 15 14:05:29,8 Apr 15 14:05:29,8 Apr 15 14:21:15,39m 26s,15m 46s,0,0,0,0,After defrost,,FALSE,FALSE,FALSE
8 Apr 15 14:21:15,8 Apr 15 14:56:31,8 Apr 15 14:56:31,8 Apr 15 15:24:40,35m 16s,28m 9s,23,0,0.6,0,Regular,Some freezer usage; weird power usage,TRUE,TRUE,TRUE
8 Apr 15 15:24:40,8 Apr 15 15:47:56,8 Apr 15 15:47:56,8 Apr 15 16:12:46,23m 16s,24m 50s,0,30,0,0.6,Regular,,FALSE,TRUE,TRUE
8 Apr 15 16:12:46,8 Apr 15 16:40:23,8 Apr 15 16:40:23,8 Apr 15 17:08:42,27m 37s,28m 19s,28,7,1,0.1,Regular,,FALSE,TRUE,TRUE
8 Apr 15 17:08:42,8 Apr 15 17:33:17,8 Apr 15 17:33:17,8 Apr 15 17:59:53,24m 35s,26m 36s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 17:59:53,8 Apr 15 18:34:53,8 Apr 15 18:34:53,8 Apr 15 19:15:39,35m,40m 46s,8,0,0.1,0,Regular,,FALSE,FALSE,TRUE
8 Apr 15 19:15:39,8 Apr 15 19:39:40,8 Apr 15 19:39:40,8 Apr 15 20:19:51,24m 1s,40m 11s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
8 Apr 15 20:19:51,8 Apr 15 20:47:58,8 Apr 15 20:47:58,8 Apr 15 21:28:47,28m 7s,40m 49s,15,0,0.6,0,Regular,,FALSE,TRUE,TRUE
8 Apr 15 21:28:47,8 Apr 15 21:48:43,8 Apr 15 21:48:43,8 Apr 15 22:22:25,19m 56s,33m 42s,0,14,0,0.7,Regular,,FALSE,TRUE,TRUE
8 Apr 15 22:22:25,8 Apr 15 23:00:47,8 Apr 15 23:00:47,8 Apr 15 23:41:26,38m 22s,40m 39s,15,0,0.5,0,Regular,,FALSE,TRUE,TRUE
8 Apr 15 23:41:26,9 Apr 15 0:00:08,9 Apr 15 0:00:08,9 Apr 15 0:48:44,18m 42s,48m 36s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 0:48:44,9 Apr 15 1:14:47,9 Apr 15 1:14:47,9 Apr 15 1:54:12,26m 3s,39m 25s,0,0,0,0,Regular,Freezer was used,TRUE,FALSE,TRUE
9 Apr 15 1:54:12,9 Apr 15 2:19:15,9 Apr 15 2:19:15,9 Apr 15 2:59:30,25m 3s,40m 15s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 2:59:30,9 Apr 15 3:24:42,9 Apr 15 3:24:42,9 Apr 15 4:04:42,25m 12s,40m,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 4:04:42,9 Apr 15 4:29:15,9 Apr 15 4:29:15,9 Apr 15 5:09:53,24m 33s,40m 38s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 5:09:53,9 Apr 15 5:34:22,9 Apr 15 5:34:22,9 Apr 15 6:14:40,24m 29s,40m 18s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 6:14:40,9 Apr 15 6:38:13,9 Apr 15 6:38:13,9 Apr 15 7:18:25,23m 33s,40m 12s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 7:18:25,9 Apr 15 7:42:20,9 Apr 15 7:42:20,9 Apr 15 8:22:24,23m 55s,40m 4s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 8:22:24,9 Apr 15 8:46:37,9 Apr 15 8:46:37,9 Apr 15 9:26:49,24m 13s,40m 12s,0,15,0,0.3,Regular,,FALSE,FALSE,TRUE
9 Apr 15 9:26:49,9 Apr 15 9:53:08,9 Apr 15 9:53:08,9 Apr 15 10:33:29,26m 19s,40m 21s,0,20,0,0.4,Regular,,FALSE,FALSE,TRUE
9 Apr 15 10:33:29,9 Apr 15 11:32:00,,,58m 31s,0,0,0,0,0,Before defrost,,FALSE,FALSE,FALSE
9 Apr 15 11:32:00,9 Apr 15 11:48:18,,,16m 18s,0,0,0,0,0,Defrost,,FALSE,FALSE,FALSE
9 Apr 15 11:58:00,9 Apr 15 12:41:00,9 Apr 15 12:41:00,9 Apr 15 13:04:00,43m,23m,10,7,0.2,0.5,After defrost,Freezer was used,TRUE,TRUE,TRUE
9 Apr 15 13:04:00,9 Apr 15 13:33:18,9 Apr 15 13:33:18,9 Apr 15 13:56:50,29m 18s,23m 32s,20,20,0.5,0.6,After defrost,,FALSE,TRUE,TRUE
9 Apr 15 13:56:50,9 Apr 15 14:25:18,9 Apr 15 14:25:18,9 Apr 15 14:35:13,28m 28s,9m 55s,0,0,0,0,After defrost,Freezer used during off cycle,TRUE,FALSE,TRUE
9 Apr 15 14:35:13,9 Apr 15 15:00:50,9 Apr 15 15:00:50,9 Apr 15 15:25:36,25m 37s,24m 46s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 15:25:36,9 Apr 15 15:53:33,9 Apr 15 15:53:33,9 Apr 15 16:17:44,27m 57s,24m 11s,0,10,0,0.2,Regular,,FALSE,FALSE,TRUE
9 Apr 15 16:17:44,9 Apr 15 16:38:44,9 Apr 15 16:38:44,9 Apr 15 16:55:37,21m,16m 53s,0,30,0,1,Regular,,FALSE,TRUE,TRUE
9 Apr 15 16:55:37,9 Apr 15 17:20:52,9 Apr 15 17:20:52,9 Apr 15 17:44:53,25m 15s,24m 1s,10,0,0.2,0,Regular,,FALSE,FALSE,TRUE
9 Apr 15 17:44:53,9 Apr 15 18:07:03,9 Apr 15 18:07:03,9 Apr 15 18:24:16,22m 10s,17m 13s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 18:24:16,9 Apr 15 18:49:24,9 Apr 15 18:49:24,9 Apr 15 19:14:47,25m 8s,25m 23s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 19:14:47,9 Apr 15 19:34:35,9 Apr 15 19:34:35,9 Apr 15 20:04:11,19m 48s,29m 36s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 20:04:11,9 Apr 15 20:26:06,9 Apr 15 20:26:06,9 Apr 15 21:02:44,21m 55s,36m 38s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 21:02:44,9 Apr 15 21:31:35,9 Apr 15 21:31:35,9 Apr 15 22:09:43,28m 51s,38m 8s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 22:09:43,9 Apr 15 22:33:37,9 Apr 15 22:33:37,9 Apr 15 23:12:22,23m 54s,38m 45s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
9 Apr 15 23:12:22,9 Apr 15 23:37:08,9 Apr 15 23:37:08,10 Apr 15 0:16:38,24m 46s,39m 30s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 0:16:38,10 Apr 15 0:40:46,10 Apr 15 0:40:46,10 Apr 15 1:20:16,24m 8s,39m 30s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 1:20:16,10 Apr 15 1:44:47,10 Apr 15 1:44:47,10 Apr 15 2:24:39,24m 31s,39m 52s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 2:24:39,10 Apr 15 2:48:24,10 Apr 15 2:48:24,10 Apr 15 3:27:55,23m 45s,39m 31s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 3:27:55,10 Apr 15 3:52:26,10 Apr 15 3:52:26,10 Apr 15 4:31:48,24m 31s,39m 22s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 4:31:48,10 Apr 15 4:55:57,10 Apr 15 4:55:57,10 Apr 15 5:36:03,24m 9s,40m 6s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 5:36:03,10 Apr 15 5:59:42,10 Apr 15 5:59:42,10 Apr 15 6:39:49,23m 39s,40m 7s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 6:39:49,10 Apr 15 7:03:13,10 Apr 15 7:03:13,10 Apr 15 7:43:28,23m 24s,40m 15s,0,0,0,0,Regular,,FALSE,FALSE,FALSE
10 Apr 15 7:43:28,10 Apr 15 8:07:21,10 Apr 15 8:07:21,10 Apr 15 8:47:13,23m 53s,39m 52s,0,59,0,0.6,Regular,,FALSE,TRUE,TRUE
10 Apr 15 8:47:13,10 Apr 15 9:20:48,10 Apr 15 9:20:48,10 Apr 15 9:56:41,33m 35s,35m 53s,10,0,0.1,0,Regular,,FALSE,TRUE,TRUE