dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.083661249645708105,0.024914532560860889,0.023173554560211449,0.047055880197528689,0.54747101050196212,-0.0048357726329166387,1.8927e+07,78.0,6994,60.000001066344979,Average,1.7418e+07,78.0,7847,60.00079346341613,8.37591e+07,34269,4.03629e+07,76.0,16187,62.795464441119975,7.14326e+06,82.0,3281,72.282704950308428
94,0.016233599497607616,0.0076060230250975577,0.0069215509272041262,0.023032316073363222,0.0060175508235443733,0.00043409705585762851,1.85109e+06,77.0,1584,74.491640378430432,Bad,1.45676e+06,77.0,1452,60.000000096397578,1.23725e+07,11445,7.02716e+06,78.0,6367,60.000001060974313,2.03753e+06,85.0,2042,67.310144808234583
370,0.085960079118548388,0.03009941306814479,0.032851855903633681,0.053507327312696966,0.14877780179324546,0.019530875007921476,2.9886e+07,75.0,12310,61.638673128266554,Bad,1.68127e+07,75.0,8364,60.620542015613779,1.14828e+08,51686,4.58887e+07,75.0,20095,60.000000005215185,2.23205e+07,75.0,10955,69.694714533268112
410,0.0635271930105131,0.038442241252362896,0.026455526959429147,0.046613236186157481,0.63066315157577746,-0.021199171074078874,1.23983e+07,80.0,4077,66.900283931046317,Average,1.62703e+07,80.0,5890,60.000000000000028,6.34868e+07,22022,3.0442e+07,76.0,10431,60.000000148694681,4.47119e+06,84.0,1657,69.76675143439941
545,0.054759325786754381,0.013884073119267462,0.045674609868782717,0.072696597641155325,0.48349858743400537,0.012247933426238063,3.89582e+07,76.0,14058,66.013915450331027,Bad,1.28511e+07,76.0,5929,65.520154566703766,1.17353e+08,46124,4.63829e+07,72.0,17787,60.000000191436058,1.92214e+07,76.0,8378,77.026838053192208
624,0.026460978383238062,0.022085381543787336,0.026338510128708172,0.042331728630012229,0.51556922427464236,-0.0051878408544529945,1.27676e+07,80.0,7404,73.984024916700193,Good,6.04224e+06,85.0,4503,64.640626633156387,4.82549e+07,31475,2.13177e+07,78.0,13268,60.000001234262101,8.14661e+06,85.0,6313,80.19408274654424
871,0.042942228932058527,0.019549263459589163,0.025053838833844058,0.049019888060330891,0.29437404200292427,-0.0041517857572047389,1.05359e+07,78.0,5242,67.566415649072553,Average,5.41058e+06,78.0,3223,60,4.30581e+07,22925,2.31441e+07,78.0,12253,60.000000016870892,4.00667e+06,82.0,2229,69.310883565135001
1283,0.067006493276568171,0.038475743962955576,0.045144887119176816,0.068106723416291648,0.56178400969722253,0.0037575279459599229,2.78732e+07,78.0,9205,67.485544825185698,Average,1.88812e+07,78.0,7756,60.00000117446308,1.09233e+08,39417,5.29138e+07,78.0,18603,60.000001376501956,9.66231e+06,78.0,3891,65.98315688493021
1334,0.046527999709605646,0.17523220087077537,0.033801922808009977,0.050662373370782339,0.26118954276286527,-0.020332913889782808,974609.0,90.0,500,63.881749029751845,Good,193059.0,90.0,109,73.412722873995804,3.89075e+06,2035,1.7001e+06,90.0,878,60.000000018720044,1.02842e+06,90.0,551,69.264033082812574
1642,0.04794038335457005,0.037425778240684375,0.0317444131376124,0.047685622761640081,0.26352104833486645,0.0049745665527165745,1.49041e+07,72.0,6002,65.829513859516396,Bad,1.33836e+07,75.0,6618,60.000000000003389,6.58467e+07,29090,3.20117e+07,71.0,13758,60.000007620493456,5.60411e+06,82.0,2738,71.100940479359437
1953,0.051720275058191705,0.018842926564213557,0.026859988286403409,0.052635906354419677,0.35095272866114485,0.016625133362378759,1.48802e+07,78.0,5980,74.665003591817282,Average,1.22179e+07,78.0,5749,60.000000479246623,7.33352e+07,31747,3.56229e+07,78.0,14995,60.000001561929352,1.06728e+07,82.0,5050,75.183467293589118
2129,0.0509548063184651,0.0021308552272546618,0.01307621809648345,0.059106251183098438,0.90026479302304951,0.00072181457286504174,2.52135e+07,75.0,9126,71.377343019946537,Bad,1.63667e+07,75.0,7221,63.969916664201783,1.02609e+08,40056,4.91274e+07,75.0,18507,60.000000004773405,1.1992e+07,75.0,5239,60.002873461772388
2156,0.049297515220150953,0.013886602188256686,0.025054239320669854,0.060790303685270171,0.26981361652804181,0.018557231550743788,2.50202e+07,77.0,7155,69.738275720846531,Bad,2.89766e+06,77.0,978,60,6.7691e+07,20099,3.10628e+07,76.0,9067,60.000000061494681,8.73084e+06,77.0,2906,60.050215803254069
2242,0.050164967946076167,0.029819934127841115,0.028314588521345253,0.051945920975718873,0.54860446055210044,-0.0048759879680226013,2.37628e+07,73.0,11689,64.839916347323822,Bad,1.45401e+07,73.0,8211,60,9.75168e+07,51448,3.91549e+07,73.0,20221,60.000000615613864,2.01242e+07,76.0,11363,62.530174506484492
2378,0.067824207367639902,0.034300379026330097,0.047724905533003632,0.061936238427808432,0.30926142925288863,0.025479411998272705,2.65211e+07,78.0,10067,70.233856788307961,Average,1.40078e+07,78.0,5843,60.000000000010061,9.21087e+07,36244,4.28514e+07,76.0,16719,60.000002329592107,8.80141e+06,78.0,3646,78.604605050923055
2470,0.040386859828059368,0.020115148844309101,0.018950134530956453,0.029080881728275207,0.31294470909820615,-0.0038145713958222601,3.9345e+06,76.0,2183,70.168870855059041,Bad,8.60134e+06,80.0,5745,60.67808810827264,3.54391e+07,21981,1.8272e+07,72.0,10875,60.000000681391498,4.68418e+06,80.0,3212,70.982043316793948
2557,0.0536339015513689,0.059887761098815682,0.038799549688800783,0.055008677381905666,0.39024417278063639,0.018549335687033004,4.71199e+06,78.0,1439,69.146759743533096,Average,3.73992e+06,78.0,1309,64.582146320668471,2.1273e+07,6976,9.22332e+06,78.0,2980,60.0000118851775,3.6162e+06,78.0,1254,75.008326116667433
2814,0.070720859574034456,0.024799639017766835,0.035484137320666485,0.07900755770624257,0.189140356820029,0.0060454102631815575,3.81078e+07,77.0,12507,66.09470122656208,Bad,1.25572e+07,77.0,5463,60.000000204572181,1.12294e+08,41323,4.40205e+07,77.0,16006,60.000004622618953,1.76632e+07,77.0,7371,68.56240596263423
2829,0.04801154875189121,0.0089299402090226472,0.03754981520888076,0.061115848001186975,0.23352655792738827,0.013109739367769215,2.18339e+07,77.0,8714,68.933102136348069,Bad,6.76126e+06,78.0,3164,62.774615365624648,7.00004e+07,29447,3.2031e+07,78.0,13268,60.000000001010598,9.41249e+06,84.0,4319,75.340774224143303
2953,0.032321026637901602,0.023212545583188752,0.014747353878745571,0.029954724909069089,0.20761650192471112,0.00026203829626723327,1.28855e+07,79.0,6763,66.440576458240997,Good,1.0838e+06,79.0,661,69.509668227397981,3.70242e+07,20589,1.32638e+07,82.0,7221,60.000000001274977,9.79339e+06,79.0,5946,65.660807937814127
2995,0.067424665099158357,0.048756608951163724,0.022070885717381805,0.05992005125716017,0.75138217715685895,0.012477641063647267,3.12246e+07,80.0,12840,68.363471819434508,Bad,3.23332e+07,75.0,15299,60.00000071061524,1.45966e+08,64906,5.68566e+07,73.0,24291,60,2.56655e+07,80.0,12529,62.008322001273747
3367,0.06598081919122413,0.0090013734045616255,0.059842605877611421,0.077894975499393795,0.58313332983930799,0.026150911206963365,3.45769e+07,78.0,10555,70.030608942864404,Average,1.23342e+07,78.0,4813,60.05404151378562,1.11379e+08,36771,5.36861e+07,76.0,17218,60.000000003586635,1.08276e+07,80.0,4202,85.77790594630784
3456,0.032500397772562063,0.020745828661787005,0.016637189124654644,0.041282519288781482,0.28719831693228398,-8.765522905069131e-05,1.75728e+07,75.0,8420,69.419982688601252,Bad,2.58885e+06,75.0,1521,74.667119914611334,5.13451e+07,26196,1.89557e+07,80.0,9297,60.000000000088818,1.22429e+07,75.0,6966,66.208174323309862
3649,0.10335860081790454,0.037820483414021902,0.049065883676119512,0.091837021958553117,0.71603113034182364,0.018172427458832574,5.52969e+07,80.0,16102,64.402658577936634,Average,2.50934e+07,80.0,9187,60.000000013293047,1.69937e+08,52824,7.79916e+07,77.0,23236,60.000000099551414,1.16993e+07,83.0,4345,64.316272429291544
3652,0.11634678276387922,0.07720770709642899,0.067140059006213462,0.082626294358091865,0.78334551700613742,-0.0018184614822013936,1.98002e+07,73.0,5087,68.489399051474081,Bad,2.53874e+07,73.0,7539,60.000000000000178,1.04338e+08,28752,5.27414e+07,70.0,14142,60.000001127716779,6.54599e+06,75.0,2023,75.376803765874044
3723,0.031301027287652064,0.029761467016135471,0.020404532059283251,0.033305728592069588,0.38669295849921742,-0.0075503171210547755,1.39087e+07,73.0,8807,65.630074924644958,Bad,1.5401e+07,73.0,11911,60,6.12832e+07,43395,2.33172e+07,73.0,15881,60.000000148163934,8.70886e+06,82.0,6835,75.278241011066228
3736,0.055178462108457192,0.02155113194559229,0.025871052539933975,0.054774673904722272,0.15149710550928869,-0.011820416638588143,2.19154e+07,77.0,7683,66.692084463344841,Bad,6.43349e+06,77.0,2642,60.000000448863787,6.33901e+07,23666,2.37879e+07,75.0,8844,60,1.1297e+07,77.0,4514,61.7708496073624
3967,0.064313666551823356,0.028270742562832362,0.031759554809678625,0.066194111886142895,0.26098090635456717,0.012954929371066352,2.59736e+07,78.0,9457,67.961528827920205,Average,9.08322e+06,78.0,4066,60,8.8124e+07,34789,3.80028e+07,77.0,14625,60.000000018986576,1.51155e+07,78.0,6663,73.346004058655296
4767,0.055388587728611778,0.0021081142221125015,0.040434693455744408,0.067132135230714374,0.32257690576380832,0.038456543476896449,2.63569e+07,77.0,8472,68.967721941342177,Bad,9.62001e+06,77.0,3965,61.206796679296986,9.09715e+07,31811,4.25874e+07,77.0,14389,60.000000005202992,1.24534e+07,85.0,5003,81.706147999785983
4874,0.051505450107276009,0.0092567876964255186,0.049370828231475587,0.068392679493034625,0.35297678984209191,0.02013776142255435,3.48044e+07,75.0,11725,65.716936716970565,Bad,1.12818e+07,75.0,5165,60.82843711322365,1.03499e+08,39089,4.07355e+07,75.0,14867,60.000000000001982,1.67385e+07,75.0,7359,80.555060459716515
4922,0.04194396544128353,0.018097949750291716,0.0165406051715693,0.045539705043110897,0.24196640583077883,-0.0002541414163745827,6.76507e+06,77.0,3919,72.081608749099246,Bad,5.44605e+06,77.0,3766,63.972072021150225,4.23242e+07,26275,2.56309e+07,78.0,15445,60.000000626887122,4.50611e+06,80.0,3161,60.000046726294975
4946,0.041790723035011121,0.0097549927158785063,0.022313079284407546,0.040498875667437012,0.36904751674550018,0.0018584869101808802,1.89538e+07,78.0,9361,66.367446513963714,Average,583399.0,78.0,377,60.000108828944683,5.45309e+07,28599,2.1991e+07,78.0,11317,60.000000155892963,1.30051e+07,78.0,7546,60.000084212743651
4998,0.11162457962726735,0.070338021347786439,0.080862529402761313,0.10601792187201169,0.50372197500778315,0.025674669484016865,4.8137e+07,77.0,13446,62.032620038450546,Bad,2.46866e+07,78.0,8518,60.000000000001478,1.66734e+08,51112,6.34661e+07,76.0,18785,60.00000433739131,3.0547e+07,78.0,10398,72.902984455901688
5026,0.083115968649410996,0.055053901755609522,0.047719257309026528,0.076290757775125145,0.81032716244944891,0.0064965098550806098,3.87793e+07,74.0,12859,66.946350324259086,Bad,3.62004e+07,72.0,14139,60.000000003530914,1.58302e+08,56814,6.86496e+07,72.0,24072,60.000003744843426,1.48229e+07,75.0,5801,71.610466897853726
5109,0.071503299496345318,0.031848229202206819,0.041554396698845433,0.063985604624393511,0.49089232533277066,0.0067534902683263351,2.92988e+07,77.0,15863,67.813850896434232,Bad,1.73042e+07,77.0,10202,60,1.11049e+08,59604,4.56699e+07,77.0,21951,60.000000345469125,1.88614e+07,77.0,11637,75.724365910346833
5209,0.023686490609814013,0.0050904124625517962,0.009777636433313773,0.022809853659472305,0.23173241438185371,0.0027859044510000009,7.09975e+06,76.0,7155,75.651023628667502,Bad,5.2906e+06,76.0,6173,67.698192247422966,3.3633e+07,36405,1.76499e+07,74.0,18890,60.000000029776672,3.61924e+06,76.0,4218,76.866012008700849
5218,0.037180985243860529,0.036806003956715572,0.022781483888583001,0.024766881576838175,0.4446509072092204,-0.024880112817643203,2.02834e+06,76.0,1200,60.000065383506332,Bad,2.72432e+06,78.0,1786,60.000000854480859,1.652e+07,10585,1.01883e+07,76.0,6406,60.000000114509575,1.58842e+06,82.0,1198,71.517544574257798
5357,0.072068655997473835,0.04966575996231145,0.010542548157934806,0.069085962185288369,1.5493045592347858,-0.0083779738518657554,3.62755e+07,75.0,11868,67.007634316044374,Bad,3.04573e+07,75.0,10277,72.790796269709745,1.68097e+08,54880,7.2517e+07,78.0,23371,60.00000003444223,2.89642e+07,75.0,9403,60.004716019337145
5371,0.04613306401161308,0.030222877596698419,0.031583403698313715,0.044004067080380266,0.40460773901540559,0.0015863726608220143,2.25524e+07,78.0,12139,66.38902952669936,Average,1.26728e+07,78.0,7896,60.000000001703015,8.21465e+07,47261,3.51871e+07,78.0,19873,60.000003026532163,1.17905e+07,80.0,7387,69.636491926910494
5677,0.037337812762009114,0.017461526794786873,0.0085421942600267132,0.031548378858224854,0.39537093539863771,0.0030159405188545587,8.94449e+06,76.0,4645,72.295716884577303,Bad,1.23093e+07,76.0,7403,60.000016798963614,5.51264e+07,31055,2.62882e+07,73.0,14366,60.000001077746468,7.63597e+06,79.0,4671,75.537322615854052
5746,0.038564186555816705,0.020113776313935506,0.027232814307646951,0.047103058527368381,0.47323735957792556,0.0097927538491799394,2.61262e+07,77.0,14233,66.559894048770573,Bad,1.39259e+07,77.0,9040,60.000000000000043,8.79972e+07,51872,3.40903e+07,75.0,19652,60.000002077781296,1.39521e+07,77.0,9008,71.214719571397538
5785,0.046047439214198876,0.01228894987141878,0.043402325372879191,0.064644341930400334,0.26895826404764978,0.010520621543655805,3.06554e+07,78.0,13260,66.346634147364128,Average,8.41598e+06,78.0,4509,60.012439027498807,8.52057e+07,39497,3.32284e+07,77.0,15055,60.000000015772812,1.29501e+07,78.0,6695,77.96350712586846
5814,0.041599093949379065,0.014842863580199855,0.016626691714673531,0.038480332604937099,0.33149624343462497,0.011166478277644186,1.55456e+07,75.0,8905,69.643836183358772,Bad,9.50778e+06,73.0,6300,60.000350056415968,6.01826e+07,36850,2.81711e+07,73.0,17042,60.00000014089651,6.99653e+06,78.0,4628,74.18686789084451
6072,0.045610336619170966,0.010894406167861876,0.022194507100641664,0.045585647106608597,0.21530694660429214,0.016750078665186227,2.04337e+07,83.0,8863,67.068171779714504,Good,5.19862e+06,83.0,2677,60.000014527230725,5.67704e+07,25984,2.74136e+07,83.0,12538,60.000001499380048,3.76758e+06,83.0,1927,73.378375399402515
6636,0.11597381762670268,0.080707966004190237,0.07678165396372709,0.086069497537017939,1.1366410357178285,-0.035956935686383203,8.76457e+06,78.0,1731,62.338219438386645,Average,2.90237e+07,75.0,6260,60.000000000000021,9.54819e+07,19749,4.61561e+07,73.0,9220,60.000000228002627,1.17032e+07,88.0,2574,72.479432645380641
6836,0.020161861093992831,0.0031360107690594761,0.0081147853646982709,0.020258936099904392,0.19847901753707778,0.010119271462199512,7.93288e+06,78.0,6106,69.758231122077902,Bad,5.19376e+06,76.0,4790,71.253133424734756,3.16262e+07,26500,1.60069e+07,77.0,13299,60.000000025966109,2.52011e+06,80.0,2329,76.904251701176946
6910,0.082332239385028816,0.040761133775745584,0.035315110064371734,0.078824785575737258,0.36136965329092019,0.018848070399952618,1.22781e+07,75.0,3476,76.156615726833905,Bad,1.73332e+07,75.0,5638,62.135506275953055,8.7643e+07,26389,5.03647e+07,72.0,14758,60.000000952191257,7.74239e+06,78.0,2542,70.568881822457342
7319,0.046014522573997116,0.017545402819426875,0.029229238867205885,0.04295396814274334,0.27917534211787559,0.0078899918512949987,1.11143e+07,78.0,5144,65.780906890743324,Average,3.65743e+06,78.0,2027,60.060626491637329,3.75744e+07,18544,1.8075e+07,77.0,8782,60.000000030824289,4.74997e+06,80.0,2603,74.829827851210595
7390,0.023232269247274905,-0.0018116361778484052,0.015250753300469216,0.027206919217503778,0.28298338074252166,0.015550530207040367,9.74504e+06,78.0,3690,73.546164789543298,Average,5.94322e+06,78.0,2743,89.863028673796549,4.05973e+07,16590,2.17794e+07,77.0,8721,60.000000002325137,3.16003e+06,79.0,1449,86.458106895144368
7510,0.040203035747699463,0.019714825138156533,0.020477170329808593,0.036306587921681052,0.048376163199218294,0.014076191021639168,2.71931e+06,78.0,1620,69.468328101002811,Average,127494.0,80.0,81,60.000000315211196,7.45308e+06,4578,3.05425e+06,78.0,1807,60,1.55207e+06,80.0,1070,60.108828864282032
7731,0.057235056249004934,0.0051550025764916909,0.033085421806667743,0.068522395589694973,0.25531779815771322,0.016586825296824342,2.75477e+07,75.0,11133,72.515480416980083,Bad,8.19962e+06,75.0,4080,60.232453368727576,8.41965e+07,35912,3.96723e+07,77.0,16443,60.000000004897231,8.81201e+06,77.0,4272,79.987002595428919
7769,0.034915185203031392,0.0024794062785240163,0.011033219653177891,0.033905755569215879,0.15416705972215339,0.0084005796494766166,7.24763e+06,79.0,4340,69.984565626836044,Good,4.19199e+06,80.0,2883,60.012040739188706,3.29988e+07,20722,1.95365e+07,80.0,12126,60.000000003346173,2.0422e+06,85.0,1386,60.000000027788957
7866,0.06374185503491496,0.042894745622391435,0.03165935771547413,0.05055152894702742,0.54795113138735174,-0.0037724424292976343,1.04491e+07,75.0,4380,68.46111240037537,Bad,1.52708e+07,78.0,7000,60.000000373303379,6.94892e+07,30497,3.49598e+07,73.0,15004,60.000000022243505,8.8707e+06,78.0,4141,65.943735784841024
7982,0.049519157873829191,0.016406033247886243,0.018935232648985528,0.047964592787792332,0.22868879473390616,0.0055262212017736156,7.75396e+06,,3629,76.697990365688469,Bad,9.3865e+06,,5278,60.000000962475752,4.78036e+07,24309,2.81827e+07,64.0,14039,60.000000066939762,2.51152e+06,64.0,1381,74.13488900803118
8047,0.061772725819047927,0.0092830495290404918,0.020001684741254726,0.062525487539846672,0.46554698048557169,-0.01679161177649224,1.4905e+07,78.0,4519,73.502649882060552,Average,8.93428e+06,84.0,3334,60.017613321629305,6.6075e+07,21538,3.37557e+07,78.0,10639,60.000000012862934,8.53935e+06,84.0,3067,63.46153579917695
8142,0.079322644559449415,0.027321038266438759,0.024545311317562532,0.037239708851671327,0.47082844080274561,-0.0062579809575862878,1.93525e+07,82.0,6758,60.000000090312,Average,1.30244e+07,80.0,5161,60.000000000020222,6.7463e+07,24753,3.18738e+07,78.0,11540,61.351690453843247,3.28826e+06,80.0,1323,79.300318718513608
8292,0.057169182931477963,0.017693290144031513,0.022615413820007448,0.059855831080711824,0.47728971344230786,0.010127233722316796,1.44458e+07,76.0,5276,75.398800832312574,Bad,1.3045e+07,77.0,5668,60,7.45154e+07,29171,4.0141e+07,77.0,15272,60.000012238068663,6.93153e+06,77.0,2975,69.252878286862341
8956,0.031155704873500997,0.0078039741543554433,0.010637709254626308,0.032385896441135341,-0.033147009803259464,0.0055867710847434422,3.58631e+06,71.0,2612,75.773025663987269,Bad,2.57767e+06,71.0,2192,60.000003133003744,2.0647e+07,15676,1.28539e+07,70.0,9505,60.00000000040113,1.64231e+06,80.0,1377,69.305471420287049
9484,0.10096470884842013,0.054454021290385492,0.052849994627831659,0.08072308778030636,0.62517601208205231,0.0031624071909268615,3.92113e+07,72.0,13880,65.605064825101024,Bad,2.9353e+07,74.0,12106,60.000000000005151,1.45555e+08,53693,5.86212e+07,68.0,19892,60.000003048297586,1.85242e+07,74.0,7870,77.582388158198995
9499,0.027971016311921799,0.004654910823966598,0.052406280707336071,0.026344888121958808,0.31476829592872074,0.0054813126884797406,7.49752e+06,80.0,4476,68.286135484864701,Average,5.9339e+06,78.0,4275,60.025217501912977,3.28473e+07,21512,1.70011e+07,78.0,11007,60.000001946930929,2.44684e+06,80.0,1777,85.918503739330248
9609,0.048854165855075099,0.018896912818536688,0.019674433004978207,0.041593382099233751,0.2746551847182056,0.0098701519780041783,1.48229e+07,78.0,6094,68.288495853223083,Bad,5.36882e+06,76.0,2590,62.539649171444644,5.37541e+07,23737,2.40587e+07,78.0,10492,60.000000000006494,9.53961e+06,82.0,4578,60.02352692324191
9654,0.056615479594478768,0.023116009163795741,0.028286109770127143,0.046703763637489869,0.31670646244046102,0.01068671265346271,9.54416e+06,78.0,4212,60.772696217440235,Average,7.48595e+06,78.0,3771,60.000001582344652,5.26662e+07,24475,2.96424e+07,78.0,13505,60,6.04268e+06,78.0,3012,66.684335566249771
9922,0.051875708667407545,0.019787506067952074,0.036403394080943667,0.079190839465593882,0.26033092171699812,0.017615977546951347,2.75808e+07,68.0,6601,72.010490758662115,Bad,5.83981e+06,69.0,1657,68.181918025221975,8.40649e+07,21328,3.45536e+07,68.0,8586,60.00000031388074,1.61147e+07,68.0,4491,73.141585333783055
9933,0.066309317494546105,0.025986005359204485,0.030980443830680698,0.051703353764764336,0.10428398151786504,0.011260802666024436,8.01493e+06,74.0,3473,72.419431410445455,Average,8.91626e+06,78.0,4589,60.000000002529561,5.76202e+07,26764,3.46219e+07,74.0,15554,60.000000001359908,6.1106e+06,85.0,3169,77.21452613947524
9934,0.075377977758437367,0.028916564985569639,0.029215480498158475,0.072811290395037184,0.83259269033904248,-0.012371872136510033,2.3203e+07,77.0,8828,73.81653347938834,Bad,2.25464e+07,77.0,9877,60.000039530916084,9.62839e+07,39312,4.01267e+07,74.0,15880,66.402469555889581,1.04736e+07,77.0,4756,79.052841746209481
